categories,name,rating,review_count,location,coordinates,city
['Museums'],Paradox Museum - Miami,4.5,25,"{'address1': '2301 N Miami Ave', 'address2': '', 'address3': None, 'city': 'Miami', 'zip_code': '33127', 'country': 'US', 'state': 'FL', 'display_address': ['2301 N Miami Ave', 'Miami, FL 33127']}","{'latitude': 25.798981362709938, 'longitude': -80.1948151}",Miami
"['Supernatural Readings', 'Reiki', 'Religious Items']","Esmeralda's Earth, Wind and Fire Boutique",4.5,34,"{'address1': '12345 SW 224th St', 'address2': '', 'address3': 'Cottage 12345', 'city': 'Miami', 'zip_code': '33170', 'country': 'US', 'state': 'FL', 'display_address': ['12345 SW 224th St', 'Cottage 12345', 'Miami, FL 33170']}","{'latitude': 25.559057, 'longitude': -80.391519}",Miami
"['Mediterranean', 'Jazz & Blues', 'Wine Bars']",Jass Kitchen,4.5,82,"{'address1': '190 NE 46th St', 'address2': None, 'address3': '', 'city': 'Miami', 'zip_code': '33137', 'country': 'US', 'state': 'FL', 'display_address': ['190 NE 46th St', 'Miami, FL 33137']}","{'latitude': 25.817669, 'longitude': -80.191804}",Miami
"['Art Classes', 'Paint & Sip']",Painting with a Twist - Kendall,4.5,46,"{'address1': '12582 SW 88th St', 'address2': '', 'address3': None, 'city': 'Miami', 'zip_code': '33186', 'country': 'US', 'state': 'FL', 'display_address': ['12582 SW 88th St', 'Miami, FL 33186']}","{'latitude': 25.6843540606221, 'longitude': -80.3990874812007}",Miami
['Arts & Entertainment'],PaintPartyLife,4.5,13,"{'address1': None, 'address2': None, 'address3': '', 'city': 'Miami', 'zip_code': '33018', 'country': 'US', 'state': 'FL', 'display_address': ['Miami, FL 33018']}","{'latitude': 25.7890972, 'longitude': -80.2040435}",Miami
['Cinema'],Tower Theater Miami,4.5,53,"{'address1': '1508 SW 8th St', 'address2': '', 'address3': '', 'city': 'Miami', 'zip_code': '33135', 'country': 'US', 'state': 'FL', 'display_address': ['1508 SW 8th St', 'Miami, FL 33135']}","{'latitude': 25.7654, 'longitude': -80.21972}",Miami
"['Paint & Sip', 'Art Classes', 'Team Building Activities']",Painting with a Twist,4.5,72,"{'address1': '2399 SW 22nd St', 'address2': None, 'address3': None, 'city': 'Miami', 'zip_code': '33145', 'country': 'US', 'state': 'FL', 'display_address': ['2399 SW 22nd St', 'Miami, FL 33145']}","{'latitude': 25.75073, 'longitude': -80.23404}",Miami
"['Bars', 'Music Venues', 'American (Traditional)']",The Doral Yard,4.5,325,"{'address1': '8455 NW 53rd St', 'address2': 'Ste 106', 'address3': '', 'city': 'Doral', 'zip_code': '33166', 'country': 'US', 'state': 'FL', 'display_address': ['8455 NW 53rd St', 'Ste 106', 'Doral, FL 33166']}","{'latitude': 25.81999998, 'longitude': -80.33561727}",Miami
"['Jewelry', 'Spiritual Shop', 'Psychics']",Celestial Treasures,4.5,85,"{'address1': '3444 Main Hwy', 'address2': 'Ste 3', 'address3': '', 'city': 'Coconut Grove', 'zip_code': '33133', 'country': 'US', 'state': 'FL', 'display_address': ['3444 Main Hwy', 'Ste 3', 'Coconut Grove, FL 33133']}","{'latitude': 25.7271701499366, 'longitude': -80.2434604232677}",Miami
"['Soccer', 'Basketball Courts', 'Stadiums & Arenas']",Urban Indoor Futbol,4.5,9,"{'address1': '1125 NW 71st St', 'address2': '', 'address3': None, 'city': 'Miami', 'zip_code': '33150', 'country': 'US', 'state': 'FL', 'display_address': ['1125 NW 71st St', 'Miami, FL 33150']}","{'latitude': 25.839909686805864, 'longitude': -80.21585417181491}",Miami
"['Art Galleries', 'Glass Blowing']",Hollywood Hot Glass,4.5,101,"{'address1': '1 Young Cir', 'address2': None, 'address3': '', 'city': 'Hollywood', 'zip_code': '33020', 'country': 'US', 'state': 'FL', 'display_address': ['1 Young Cir', 'Hollywood, FL 33020']}","{'latitude': 26.011326723108077, 'longitude': -80.14242463714079}",Miami
"['Psychics', 'Psychic Mediums']",Mystical Boutique Psychic & Tarot Card Reader,4.5,42,"{'address1': '1805 East Sample Road', 'address2': None, 'address3': '', 'city': 'Pompano Beach', 'zip_code': '33064', 'country': 'US', 'state': 'FL', 'display_address': ['1805 East Sample Road', 'Pompano Beach, FL 33064']}","{'latitude': 26.2756231, 'longitude': -80.0991008}",Miami
['Festivals'],Orchid Show - Fort Lauderdale Orchid Society,5.0,4,"{'address1': '1950 Eisenhower Blvd', 'address2': '', 'address3': 'convention center', 'city': 'Fort Lauderdale', 'zip_code': '33316', 'country': 'US', 'state': 'FL', 'display_address': ['1950 Eisenhower Blvd', 'convention center', 'Fort Lauderdale, FL 33316']}","{'latitude': 26.098596, 'longitude': -80.122735}",Miami
['Psychics'],Psychic of Pembroke,5.0,3,"{'address1': '828 W Pembroke Rd', 'address2': '', 'address3': '', 'city': 'Hallandale', 'zip_code': '33009', 'country': 'US', 'state': 'FL', 'display_address': ['828 W Pembroke Rd', 'Hallandale, FL 33009']}","{'latitude': 25.9958960965443, 'longitude': -80.1603537797928}",Miami
['Art Galleries'],RH Art Gallery,5.0,3,"{'address1': '17820 W Dixie Hwy', 'address2': None, 'address3': '', 'city': 'North Miami Beach', 'zip_code': '33160', 'country': 'US', 'state': 'FL', 'display_address': ['17820 W Dixie Hwy', 'North Miami Beach, FL 33160']}","{'latitude': 25.940326, 'longitude': -80.150261}",Miami
['Performing Arts'],Aloha Islanders Hawaiian Entertainment,5.0,3,"{'address1': '1 Ftlauderdale', 'address2': None, 'address3': '', 'city': 'Fort Lauderdale', 'zip_code': '33304', 'country': 'US', 'state': 'FL', 'display_address': ['1 Ftlauderdale', 'Fort Lauderdale, FL 33304']}","{'latitude': 26.056025, 'longitude': -80.306298}",Miami
"['Social Clubs', 'Lounges']",Montecristo Lounge,5.0,3,"{'address1': '1928 Harrison St', 'address2': '', 'address3': '', 'city': 'Hollywood', 'zip_code': '33020', 'country': 'US', 'state': 'FL', 'display_address': ['1928 Harrison St', 'Hollywood, FL 33020']}","{'latitude': 26.010292, 'longitude': -80.146164}",Miami
